ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME
USC00048758,39.1678,-120.1428,1898.9,CA,TAHOE CITY
USC00049152,34.0697,-118.4428,131.1,CA,U C L A
USC00050109,40.155,-103.1417,1384.4,CO,AKRON 4 E
USC00051964,37.9806,-105.6897,2439.3,CO,CRESTONE 2 SE
USC00052294,38.9608,-105.2158,2784.0,CO,DIVIDE 4NW
USC00053246,38.6878,-108.9608,1423.7,CO,GATEWAY 1ENE
USC00053652,38.6867,-105.3925,2717.3,CO,GUFFEY 9SE
USC00055327,37.335,-108.3161,2102.2,CO,MANCOS 1SW
USC00057317,37.9136,-104.9483,2176.6,CO,RYE 1SW
USC00092517,34.1175,-83.3045,237.7,GA,DANIELSVILLE
USC00109950,44.9628,-115.4961,1539.2,ID,YELLOWPINE
USC00115079,40.1519,-89.3386,177.7,IL,LINCOLN
USC00116157,38.9917,-88.1828,161.8,IL,NEWTON
USC00118684,39.7947,-88.2911,198.4,IL,TUSCOLA
USC00121326,39.88,-86.0514,251.2,IN,CASTLETON 2 S
USC00123418,41.5575,-85.8825,266.7,IN,GOSHEN 3SW
USC00137859,43.4228,-95.1389,433.7,IA,SPIRIT LAKE
USC00138296,42.0356,-92.5806,285.0,IA,TOLEDO 3N
USC00138806,42.4686,-93.7975,326.7,IA,WEBSTER CITY
USC00148287,37.5983,-101.2908,943.1,KS,ULYSSES 3NE
USC00171131,43.2242,-70.6389,46.3,ME,CAPE NEDDICK
USC00172443,44.4933,-68.4583,32.0,ME,E SURRY
USC00173862,43.6475,-70.675,92.7,ME,HOLLIS
USC00177037,44.9675,-70.6422,466.3,ME,RANGELEY
USC00185934,39.7194,-76.8028,262.1,MD,MILLERS 4 NE
USC00193276,42.7467,-71.0425,9.1,MA,GROVELAND
USC00200228,42.2417,-83.6933,253.6,MI,ANN ARBOR SE
USC00200770,46.8325,-87.7503,233.2,MI,BIG BAY 1NW
USC00200925,45.1672,-84.9139,221.9,MI,BOYNE FALLS
USC00201468,45.3172,-85.2672,180.7,MI,CHARLEVOIX
USC00202375,42.9378,-85.6131,227.4,MI,E GRAND RAPIDS
USC00202851,43.0378,-83.7694,207.0,MI,FLINT 7W
USC00203099,44.9072,-84.7189,447.4,MI,GAYLORD 9SSW
USC00204502,44.3089,-85.205,374.9,MI,LAKE CITY EXP FARM
USC00211448,44.8497,-93.5644,288.3,MN,CHANHASSEN WSFO
USC00212576,47.6431,-92.2264,434.3,MN,EMBARRASS
USC00214861,45.9647,-94.8892,408.4,MN,LONG PRAIRIE
USC00215400,45.1219,-95.9269,310.9,MN,MILAN 1NW
USC00234705,37.5983,-94.2842,295.0,MO,LAMAR 7N
USC00240075,47.0036,-114.4781,932.7,MT,ALBERTON
USC00242104,48.1881,-114.1339,894.6,MT,CRESTON
USC00243113,47.8303,-110.6611,807.4,MT,FT BENTON
USC00245603,46.1047,-110.05,1635.3,MT,MELVILLE 4 W
USC00248809,48.5003,-113.9847,959.5,MT,W GLACIER
USC00250070,41.6853,-98.0083,547.1,NE,ALBION
USC00251408,41.2522,-100.075,887.9,NE,CALLAWAY 8WSW
USC00252037,42.7364,-97.4969,426.7,NE,CROFTON
USC00253050,41.43,-96.4669,359.7,NE,FREMONT
USC00253425,41.5461,-98.5331,615.7,NE,GREELEY
USC00256375,41.1844,-97.5514,506.6,NE,OSCEOLA
USC00258395,40.6661,-96.1892,335.3,NE,SYRACUSE
USC00258795,41.3197,-96.3672,349.0,NE,VALLEY NWS
USC00259200,41.845,-96.7142,399.3,NE,W PT
USC00262570,40.8603,-115.7428,1595.6,NV,ELKO NWS OFFICE
USC00274234,42.7831,-71.4147,56.4,NH,HUDSON 1 SSE
USC00279278,42.9108,-71.2019,87.8,NH,W HAMPSTEAD
USC00282805,39.3831,-74.8294,25.9,NJ,ESTELL MANOR
USC00300321,42.9328,-76.5447,234.7,NY,AUBURN
USC00302197,42.4717,-79.3336,192.3,NY,DUNKIRK
USC00304174,42.4492,-76.4492,292.6,NY,ITHACA CORNELL UNIV
USC00306525,42.4647,-79.0031,368.8,NY,PERRYSBURG
USC00309049,43.2419,-77.3883,83.8,NY,WEBSTER 2 NE
USC00316349,35.1075,-75.9872,1.2,NC,OCRACOKE
USC00317845,35.3111,-81.5708,249.9,NC,SHELBY 2 NW
USC00321435,48.8625,-97.7014,274.0,ND,CAVALIER 7NW
USC00325220,46.4444,-97.6928,350.2,ND,LISBON
USC00331458,41.5872,-81.1914,344.4,OH,CHARDON
USC00336405,40.9461,-83.9614,234.7,OH,PANDORA
USC00368361,41.8161,-80.425,306.3,PA,SPRINGBORO 3 WNW
USC00392302,44.3825,-97.5494,518.2,SD,DE SMET
USC00396427,44.0622,-103.4819,1438.7,SD,PACTOLA DAM
USC00396948,44.0728,-103.2108,1029.9,SD,RAPID CITY WFO
USC00398472,42.9917,-97.8703,432.8,SD,TYNDALL
